Arpt_ICAO	Procedure Type	Procedure Ident
4N1	SIAP	R06
4N1	SIAP	R24
4O4	SIAP	R02
4O4	SIAP	R20
4R3	SIAP	R01
4R3	SIAP	R19
4R5	SIAP	R04
4R5	SIAP	R22
4R7	SIAP	N16
4R7	SIAP	R16
4R7	SIAP	R34
4R7	SIAP	VDM-A
4T2	SIAP	R17
4T2	SIAP	R35
4U6	SIAP	R12
4U6	SIAP	R30
4V0	SIAP	R07
4V0	SIAP	R25
4V0	SID	ELIZZ1
4V1	SIAP	R09
4V1	SIAP	R27
4V1	SID	GOSIP1
4V4	SIAP	R26
4V8	SIAP	R01
4V9	SIAP	R01
4V9	SIAP	R19
4X4	SIAP	R12
4X4	SIAP	R30
50F	SIAP	R17
50F	SIAP	R35
50F	SID	GARL6
50F	SID	HUBB9
50F	SID	KING4
50F	SID	KUSSO5
50F	SID	SWABR5
50F	STAR	LIKES3
50F	STAR	MOTZA8
50F	STAR	REEKO3
50F	STAR	SASIE5
50F	STAR	TRUUK2
50F	STAR	WESAT2
50I	SIAP	R27
50R	SIAP	R18
50R	SIAP	R36
51D	SIAP	R14
51D	SIAP	R32
51J	SIAP	R01
51J	SIAP	R19
51R	SIAP	D18
51R	SIAP	R18
51R	SIAP	R36
52A	SIAP	R14
52A	SIAP	VDM-A
52B	SIAP	RNV-B
53A	SIAP	N18
53A	SIAP	R18
53A	SIAP	R36
54J	SIAP	R09
54J	SIAP	R27
54T	SIAP	R26
54T	SID	BLTWY5
54T	SID	BORRN3
54T	SID	HOODO5
54T	SID	INDIE6
54T	SID	KARRR4
54T	SID	LURIC6
54T	SID	MMALT4
54T	SID	STRYA6
54T	SID	STYCK6
54T	SID	WATFO4
54T	SID	WYLSN6
54T	STAR	BLUBL3
54T	STAR	CESAN4
54T	STAR	HUDZY3
54T	STAR	OHIIO4
54T	STAR	TCHDN2
54T	STAR	TKNIQ2
54T	STAR	WAPPL4
55Y	SIAP	R34
55Y	SIAP	VOR-A
57C	SIAP	R08
57C	SIAP	R26
57C	SIAP	VDM-A
57C	SID	ACCRA4
57C	SID	UECKR5
57C	STAR	GOPAC2
58M	SIAP	RNV-B
58M	SIAP	VDM-A
58N	SIAP	RNV-A
5A1	SIAP	R28
5A4	SIAP	R18
5A4	SIAP	R36
5A6	SIAP	R03
5A6	SIAP	R21
5B2	SIAP	R05
5B2	SIAP	R23
5B2	SIAP	VDM-A
5B9	SIAP	R19
5C1	SIAP	R17
5C1	SIAP	R35
5C1	SID	SETZR3
5G0	SIAP	R10
5G0	SIAP	R28
5G0	SIAP	VOR-A
5G7	SIAP	R23
5G7	SIAP	S23
5H4	SIAP	R11
5H4	SIAP	R29
5I4	SIAP	P05
5I4	SIAP	P23
5I4	SIAP	VOR-A
5J9	SIAP	P26
5K2	SIAP	R17
5K2	SIAP	R35
5L0	SIAP	R33
5M0	SIAP	R18
5M0	SIAP	R36
5M5	SIAP	R13
5M9	SIAP	R07
5M9	SIAP	R25
5N8	SIAP	D31
5N8	SIAP	R13
5N8	SIAP	R31
5R1	SIAP	R12
5R1	SIAP	R30
5R4	SIAP	R18
5R4	SIAP	R36
5R8	SIAP	D34
5R8	SIAP	R16
5R8	SIAP	R34
5T9	SIAP	R13
5T9	SIAP	R31
5W4	SIAP	RNV-A
5W4	SIAP	VOR-A
60F	SIAP	R17
60R	SIAP	R17
60R	SIAP	R35
60R	SIAP	VOR-A
61A	SIAP	R18
61A	SIAP	R36
61C	SIAP	R03
61C	SIAP	R21
61C	SIAP	VOR-A
63C	SIAP	R33
65S	SIAP	R02
65S	SID	KARPS2
67L	SIAP	R02-Y
67L	SIAP	R02-Z
69V	SIAP	RNV-C
69V	SIAP	VOR-B
6A1	SIAP	R01
6A1	SIAP	R19
6A2	SIAP	R14
6A2	SIAP	R32
6A2	STAR	BUKHD1
6A2	STAR	DEHAN1
6A4	SIAP	R06
6A4	SIAP	R24
6B6	SIAP	R21
6B9	SIAP	VOR-A
6D6	SIAP	R10
6D6	SIAP	R28
6D6	SIAP	VOR-A
6D9	SIAP	R08
6D9	SIAP	VOR-A
6G1	SIAP	R01
6G1	SIAP	R19
6G5	SIAP	D27
6G5	SIAP	R27
6I2	SIAP	D11
6I2	SIAP	R11
6I2	SIAP	R29
6J0	SIAP	R18
6J0	SIAP	R36
6J0	SIAP	VOR-A
6J2	SIAP	R05
6J4	SIAP	R01
6J4	SIAP	R19
6K3	SIAP	R13
6K3	SIAP	R31
6K4	SIAP	R17
6L3	SIAP	R14
6L3	SIAP	R32
6L4	SIAP	R06
6L4	SIAP	R24
6M2	SIAP	RNV-A
6M6	SIAP	R18
6M6	SIAP	R36
6M7	SIAP	R18
6M7	SIAP	R36
6P7	SIAP	R14
6P7	SIAP	R32
6R1	SIAP	D07
6R3	SIAP	R16
6R3	SID	BLTWY5
6R3	SID	BORRN3
6R3	SID	HOODO5
6R3	SID	INDIE6
6R3	SID	KARRR4
6R3	SID	LURIC6
6R3	SID	MMALT4
6R3	SID	STRYA6
6R3	SID	STYCK6
6R3	SID	WATFO4
6R3	SID	WYLSN6
6R3	STAR	HUDZY3
6R3	STAR	OHIIO4
6R3	STAR	RIICE8
6R3	STAR	WHAEL3
6S0	SIAP	R06
6S0	SIAP	R24
6S5	SIAP	RNV-A
6S5	SIAP	RNV-B
6S5	SID	HAMEY1
6S8	SIAP	R04
6S8	SIAP	R22
6S8	SIAP	S22
6Y1	SIAP	R10
6Y1	SIAP	R28
70J	SIAP	R13
70J	SIAP	R31
70N	SIAP	RNV-A
70N	SIAP	VDM-B
71J	SIAP	R13
71J	SIAP	R31
71J	SIAP	S31
74N	SIAP	RNV-A
74V	SIAP	R25
75J	SIAP	R17
75J	SIAP	R35
77F	SIAP	R17
77F	SIAP	R35
77G	SIAP	R09
77G	SIAP	R19
77G	SIAP	R27
77S	SIAP	R16
77S	SID	77S2
79D	SIAP	R26
79J	SIAP	R11
79J	SIAP	R29
79S	SIAP	R23
7A3	SIAP	VDM-A
7B2	SIAP	R14
7D3	SIAP	RNV-A
7F3	SIAP	R36
7G0	SIAP	R28
7G8	SIAP	R11
7G8	SIAP	R29
7G8	SIAP	VOR-A
7K5	SIAP	R26
7L2	SIAP	R09
7L2	SIAP	R27
7M1	SIAP	R18
7M1	SIAP	R36
7M1	SIAP	VDM-A
7M2	SIAP	R27
7M4	SIAP	R19
7M5	SIAP	R04
7M5	SIAP	VDM-A
7N7	SIAP	R07
7N7	SIAP	R25
7S0	SIAP	R16
7S0	SIAP	R34
7S0	SID	HANIM2
7S0	SID	RONAN3
7S1	SIAP	R17
7S1	SIAP	R35
7S1	SID	7S11
7S1	SID	DLN1
7V7	SIAP	R16
7V7	SIAP	R34
7W4	SIAP	R08
7W4	SIAP	R26
7W5	SIAP	R28
80F	SIAP	R35
81B	SIAP	R15
81B	SIAP	R33
82C	SIAP	R14
82C	SIAP	R32
83D	SIAP	R07
83D	SIAP	R25
84D	SIAP	R31
87I	SIAP	R17
87I	SIAP	R35
87N	SIAP	R190
87Y	SIAP	VOR-A
8A0	SIAP	R05
8A0	SIAP	R23
8A1	SIAP	R07
8A1	SIAP	R25
8A3	SIAP	D21
8A3	SIAP	R03
8A3	SIAP	R21
8A4	SIAP	D287
8A4	SIAP	R291
8A7	SIAP	R09
8B0	SIAP	RNV-D
8C4	SIAP	R11
8D1	SIAP	R14
8D1	SIAP	R32
8D1	SIAP	VDM-A
8D3	SIAP	R16
8D3	SIAP	R34
8D4	SIAP	R07
8D4	SIAP	R25
8D4	SIAP	VOR-A
8D7	SIAP	R13
8D7	SIAP	R31
8F3	SIAP	R17
8F3	SIAP	R35
8G1	SIAP	VOR-A
8G2	SIAP	R14
8G2	SIAP	R32
8G2	SIAP	V32
8G6	SIAP	R13
8G6	SIAP	R31
8K2	SIAP	VOR-B
8M1	SIAP	R15
8M1	SIAP	R33
8M1	SIAP	VOR-A
8N8	SIAP	R09
