
  _real,_time |   _totl,_time |   missn,_time |   timer,_time |   _zulu,_time |   local,_time |   hobbs,_time |   _Vind,_kias |   _Vind,_keas |   Vtrue,_ktas |   Vtrue,_ktgs |   _Vind,__mph |   Vtrue,mphas |   Vtrue,mphgs |   pitch,__deg |   _roll,__deg |   hding,_true |   hding,__mag |   __lat,__deg |   __lon,__deg |   __alt,ftmsl |   __alt,ftagl |   ___on,runwy |   __alt,__ind |   __lat,orign |   __lon,orign | 
     76.96076 |       3.30878 |       3.30878 |       0.00000 |      22.68092 |      14.68092 |       2.83156 |       0.00424 |       0.05576 |       0.05981 |       0.05981 |       0.00488 |       0.06883 |       0.06883 |      -0.37584 |      -0.03816 |     317.54446 |     304.41470 |      38.99726 |    -119.75648 |    4716.86914 |       0.26112 |       1.00000 |    4674.62695 |      38.50000 |    -120.00000 | 
     77.06634 |       3.41435 |       3.41435 |       0.00000 |      22.68095 |      14.68095 |       2.83158 |       0.00355 |       0.04318 |       0.04632 |       0.04632 |       0.00409 |       0.05330 |       0.05330 |      -0.37603 |      -0.07022 |     317.54776 |     304.41800 |      38.99726 |    -119.75648 |    4716.87109 |       0.26316 |       1.00000 |    4681.85205 |      38.50000 |    -120.00000 | 
     77.17377 |       3.52178 |       3.52178 |       0.00000 |      22.68098 |      14.68098 |       2.83161 |       0.00296 |       0.04023 |       0.04315 |       0.04315 |       0.00340 |       0.04966 |       0.04966 |      -0.38256 |      -0.09438 |     317.55106 |     304.42130 |      38.99726 |    -119.75648 |    4716.86865 |       0.26077 |       1.00000 |    4687.96045 |      38.50000 |    -120.00000 | 
     77.27091 |       3.61893 |       3.61893 |       0.00000 |      22.68101 |      14.68101 |       2.83164 |       0.00251 |       0.03827 |       0.04105 |       0.04105 |       0.00288 |       0.04724 |       0.04724 |      -0.39187 |      -0.10720 |     317.55371 |     304.42395 |      38.99726 |    -119.75648 |    4716.86475 |       0.25644 |       1.00000 |    4692.56885 |      38.50000 |    -120.00000 | 
     77.37350 |       3.72152 |       3.72152 |       0.00000 |      22.68103 |      14.68103 |       2.83167 |       0.00210 |       0.03105 |       0.03331 |       0.03331 |       0.00242 |       0.03833 |       0.03833 |      -0.40338 |      -0.11075 |     317.55600 |     304.42624 |      38.99726 |    -119.75648 |    4716.85986 |       0.25184 |       1.00000 |    4696.65576 |      38.50000 |    -120.00000 | 
     77.47307 |       3.82109 |       3.82109 |       0.00000 |      22.68106 |      14.68106 |       2.83170 |       0.00177 |       0.02348 |       0.02519 |       0.02519 |       0.00204 |       0.02898 |       0.02898 |      -0.41473 |      -0.10489 |     317.55756 |     304.42780 |      38.99726 |    -119.75648 |    4716.85693 |       0.24909 |       1.00000 |    4699.97168 |      38.50000 |    -120.00000 | 
     77.57668 |       3.92469 |       3.92469 |       0.00000 |      22.68109 |      14.68109 |       2.83173 |       0.00148 |       0.02569 |       0.02755 |       0.02755 |       0.00170 |       0.03171 |       0.03171 |      -0.42560 |      -0.09040 |     317.55844 |     304.42868 |      38.99726 |    -119.75648 |    4716.85693 |       0.24885 |       1.00000 |    4702.85498 |      38.50000 |    -120.00000 | 
     77.68518 |       4.03320 |       4.03320 |       0.00000 |      22.68112 |      14.68112 |       2.83176 |       0.00122 |       0.03364 |       0.03609 |       0.03609 |       0.00141 |       0.04153 |       0.04153 |      -0.43500 |      -0.06850 |     317.55853 |     304.42877 |      38.99726 |    -119.75648 |    4716.85938 |       0.25100 |       1.00000 |    4705.35742 |      38.50000 |    -120.00000 | 
     77.78944 |       4.13746 |       4.13746 |       0.00000 |      22.68115 |      14.68115 |       2.83179 |       0.00102 |       0.03700 |       0.03969 |       0.03969 |       0.00117 |       0.04567 |       0.04567 |      -0.44148 |      -0.04409 |     317.55795 |     304.42819 |      38.99726 |    -119.75648 |    4716.86230 |       0.25403 |       1.00000 |    4707.34326 |      38.50000 |    -120.00000 | 
     77.89693 |       4.24495 |       4.24495 |       0.00000 |      22.68118 |      14.68118 |       2.83182 |       0.00084 |       0.03491 |       0.03745 |       0.03745 |       0.00097 |       0.04309 |       0.04309 |      -0.44511 |      -0.01866 |     317.55679 |     304.42703 |      38.99726 |    -119.75648 |    4716.86475 |       0.25659 |       1.00000 |    4709.03711 |      38.50000 |    -120.00000 | 
     77.99761 |       4.34563 |       4.34563 |       0.00000 |      22.68121 |      14.68121 |       2.83184 |       0.00070 |       0.03027 |       0.03247 |       0.03247 |       0.00081 |       0.03737 |       0.03737 |      -0.44566 |       0.00244 |     317.55536 |     304.42560 |      38.99726 |    -119.75648 |    4716.86572 |       0.25799 |       1.00000 |    4710.35059 |      38.50000 |    -120.00000 | 
     78.10170 |       4.44972 |       4.44972 |       0.00000 |      22.68124 |      14.68124 |       2.83187 |       0.00059 |       0.02505 |       0.02687 |       0.02687 |       0.00067 |       0.03092 |       0.03092 |      -0.44360 |       0.01925 |     317.55368 |     304.42392 |      38.99726 |    -119.75648 |    4716.86523 |       0.25739 |       1.00000 |    4711.48047 |      38.50000 |    -120.00000 | 
     78.20152 |       4.54953 |       4.54953 |       0.00000 |      22.68126 |      14.68126 |       2.83190 |       0.00049 |       0.01977 |       0.02121 |       0.02121 |       0.00056 |       0.02441 |       0.02441 |      -0.43970 |       0.02930 |     317.55209 |     304.42233 |      38.99726 |    -119.75648 |    4716.86377 |       0.25571 |       1.00000 |    4712.38184 |      38.50000 |    -120.00000 | 
     78.30825 |       4.65626 |       4.65626 |       0.00000 |      22.68129 |      14.68129 |       2.83193 |       0.00040 |       0.01290 |       0.01384 |       0.01384 |       0.00047 |       0.01593 |       0.01593 |      -0.43434 |       0.03273 |     317.55063 |     304.42087 |      38.99726 |    -119.75648 |    4716.86182 |       0.25361 |       1.00000 |    4713.18066 |      38.50000 |    -120.00000 | 
     78.41206 |       4.76008 |       4.76008 |       0.00000 |      22.68132 |      14.68132 |       2.83196 |       0.00034 |       0.00667 |       0.00715 |       0.00715 |       0.00039 |       0.00823 |       0.00823 |      -0.42900 |       0.02907 |     317.54950 |     304.41974 |      38.99726 |    -119.75648 |    4716.86035 |       0.25212 |       1.00000 |    4713.82178 |      38.50000 |    -120.00000 | 
