********* TRAJECTORY OUTPUT DATA *********
** Output Format:
** simulation_start_time
** 
** AC,flight_index,callsign,actype,origin_airport,destination_airport,start_time,simulation_interval_ground,simulation_interval_airborne,cruise_altitude_ft,cruise_tas_knots,origin_airport_elevation_ft,destination_airport_elevation_ft,number_of_trajectory_rec
** timestamp,latitude_deg,longitude_deg,altitude_ft,rocd_fps,tas_knots,course_deg,fpa_deg,sector_index,sector_name,flight_mode

1121238067

AC,0,SWA1897,B733,KSFO,PHX,0,1,1,33000,430,13,1135,6203
2806,34.7247238159179688,-118.435409545898438,33000,0,430,131.755859375,0,2576,ZLA2700M1,CRUISE
2807,34.7233772277832031,-118.433578491210938,33000,0,430,131.756088256835938,0,2576,ZLA2700M1,CRUISE
2808,34.7220306396484375,-118.431747436523438,33000,0,430,131.757278442382812,0,2576,ZLA2700M1,CRUISE
2809,34.7206840515136719,-118.429916381835938,33000,0,430,131.757843017578125,0,2576,ZLA2700M1,CRUISE
2810,34.7193374633789062,-118.428085327148438,33000,0,430,131.758407592773438,0,2576,ZLA2700M1,CRUISE
2811,34.7179908752441406,-118.426254272460938,33000,0,430,131.759307861328125,0,2576,ZLA2700M1,CRUISE
2812,34.716644287109375,-118.424423217773438,33000,0,430,131.760208129882812,0,2576,ZLA2700M1,CRUISE
2813,34.7152976989746094,-118.422592163085938,33000,0,430,131.76080322265625,0,2576,ZLA2700M1,CRUISE
2814,34.7139511108398438,-118.420761108398438,33000,0,430,131.761550903320312,0,2576,ZLA2700M1,CRUISE
2815,34.7126045227050781,-118.418930053710938,33000,0,430,131.763458251953125,0,2576,ZLA2700M1,CRUISE
2816,34.7112579345703125,-118.417098999023438,33000,0,430,131.764068603515625,0,2576,ZLA2700M1,CRUISE
2817,34.7099113464355469,-118.415267944335938,33000,0,430,131.764678955078125,0,2576,ZLA2700M1,CRUISE
2818,34.7085647583007812,-118.413436889648438,33000,0,430,131.765472412109375,0,2576,ZLA2700M1,CRUISE
2819,34.7072181701660156,-118.411605834960938,33000,0,430,131.76641845703125,0,2576,ZLA2700M1,CRUISE
2820,34.70587158203125,-118.409774780273438,33000,0,430,131.767059326171875,0,2576,ZLA2700M1,CRUISE
2821,34.7045249938964844,-118.407943725585938,33000,0,430,131.767868041992188,0,2576,ZLA2700M1,CRUISE
2822,34.7031784057617188,-118.406112670898438,33000,0,430,131.768692016601562,0,2576,ZLA2700M1,CRUISE
2823,34.7018318176269531,-118.404281616210938,33000,0,430,131.768997192382812,0,2576,ZLA2700M1,CRUISE
2824,34.7004852294921875,-118.402450561523438,33000,0,430,131.769989013671875,0,2576,ZLA2700M1,CRUISE
2825,34.6991386413574219,-118.400619506835938,33000,0,430,131.770843505859375,0,2576,ZLA2700M1,CRUISE
2826,34.6977920532226562,-118.398788452148438,33000,0,430,131.772216796875,0,2576,ZLA2700M1,CRUISE
2827,34.6964454650878906,-118.396957397460938,33000,0,430,131.772705078125,0,2576,ZLA2700M1,CRUISE
2828,34.695098876953125,-118.395126342773438,33000,0,430,131.773223876953125,0,2576,ZLA2700M1,CRUISE
2829,34.6937522888183594,-118.393295288085938,33000,0,430,131.774276733398438,0,2576,ZLA2700M1,CRUISE
2830,34.6924057006835938,-118.391464233398438,33000,0,430,131.774795532226562,0,2576,ZLA2700M1,CRUISE
2831,34.6910591125488281,-118.389633178710938,33000,0,430,131.775863647460938,0,2576,ZLA2700M1,CRUISE
2832,34.6897125244140625,-118.387802124023438,33000,0,430,131.776763916015625,0,2576,ZLA2700M1,CRUISE
2833,34.6883659362792969,-118.385971069335938,33000,0,430,131.777130126953125,0,2576,ZLA2700M1,CRUISE
2834,34.6870193481445312,-118.384140014648438,33000,0,430,131.778228759765625,0,2576,ZLA2700M1,CRUISE
2835,34.6856727600097656,-118.382308959960938,33000,0,430,131.779327392578125,0,2576,ZLA2700M1,CRUISE
2836,34.684326171875,-118.380477905273438,33000,0,430,131.779891967773438,0,2576,ZLA2700M1,CRUISE
2837,34.6829795837402344,-118.378646850585938,33000,0,430,131.781204223632812,0,2576,ZLA2700M1,CRUISE
2838,34.6816329956054688,-118.376815795898438,33000,0,430,131.781600952148438,0,2576,ZLA2700M1,CRUISE
2839,34.6802864074707031,-118.374984741210938,33000,0,430,131.782745361328125,0,2576,ZLA2700M1,CRUISE
2840,34.6789398193359375,-118.373153686523438,33000,0,430,131.784454345703125,0,2576,ZLA2700M1,CRUISE
2841,34.6775932312011719,-118.371322631835938,33000,0,430,131.785629272460938,0,2576,ZLA2700M1,CRUISE
2842,34.6762466430664062,-118.369491577148438,33000,0,430,131.786453247070312,0,2576,ZLA2700M1,CRUISE
2843,34.6749000549316406,-118.367660522460938,33000,0,430,131.787063598632812,0,2576,ZLA2700M1,CRUISE
2844,34.673553466796875,-118.365829467773438,33000,0,430,131.7880859375,0,2576,ZLA2700M1,CRUISE
2845,34.6722068786621094,-118.363998413085938,33000,0,430,131.789108276367188,0,2576,ZLA2700M1,CRUISE
2846,34.6708602905273438,-118.362167358398438,33000,0,430,131.789764404296875,0,2576,ZLA2700M1,CRUISE
2847,34.6695137023925781,-118.360336303710938,33000,0,430,131.790802001953125,0,2576,ZLA2700M1,CRUISE
2848,34.6681671142578125,-118.358505249023438,33000,0,430,131.792068481445312,0,2576,ZLA2700M1,CRUISE
2849,34.6668205261230469,-118.356674194335938,33000,0,430,131.792739868164062,0,2576,ZLA2700M1,CRUISE
2850,34.6654739379882812,-118.354843139648438,33000,0,430,131.793411254882812,0,2576,ZLA2700M1,CRUISE
2851,34.6641273498535156,-118.353012084960938,33000,0,430,131.794708251953125,0,2576,ZLA2700M1,CRUISE
2852,34.66278076171875,-118.351181030273438,33000,0,430,131.795822143554688,0,2576,ZLA2700M1,CRUISE
2853,34.6614341735839844,-118.349349975585938,33000,0,430,131.796539306640625,0,2576,ZLA2700M1,CRUISE
2854,34.6600875854492188,-118.347518920898438,33000,0,430,131.797454833984375,0,2576,ZLA2700M1,CRUISE
2855,34.6587409973144531,-118.345687866210938,33000,0,430,131.798797607421875,0,2576,ZLA2700M1,CRUISE
2856,34.6573944091796875,-118.343856811523438,33000,0,430,131.799530029296875,0,2576,ZLA2700M1,CRUISE
2857,34.6560478210449219,-118.342025756835938,33000,0,430,131.800491333007812,0,2576,ZLA2700M1,CRUISE
2858,34.6547012329101562,-118.340194702148438,33000,0,430,131.8018798828125,0,2576,ZLA2700M1,CRUISE
2859,34.6533546447753906,-118.338363647460938,33000,0,430,131.802658081054688,0,2576,ZLA2700M1,CRUISE
2860,34.652008056640625,-118.336532592773438,33000,0,430,131.803436279296875,0,2576,ZLA2700M1,CRUISE
2861,34.6506614685058594,-118.334701538085938,33000,0,430,131.804641723632812,0,2576,ZLA2700M1,CRUISE
2862,34.6493148803710938,-118.332870483398438,33000,0,430,131.80609130859375,0,2576,ZLA2700M1,CRUISE
2863,34.6479682922363281,-118.331039428710938,33000,0,430,131.80670166015625,0,2576,ZLA2700M1,CRUISE
2864,34.6466217041015625,-118.329208374023438,33000,0,430,131.809219360351562,0,2576,ZLA2700M1,CRUISE
2865,34.6452751159667969,-118.327377319335938,33000,0,430,131.810272216796875,0,2576,ZLA2700M1,CRUISE
2866,34.6439285278320312,-118.325546264648438,33000,0,430,131.81158447265625,0,2576,ZLA2700M1,CRUISE
2867,34.6425819396972656,-118.323715209960938,33000,0,430,131.812225341796875,0,2576,ZLA2700M1,CRUISE
2868,34.6412353515625,-118.321884155273438,33000,0,430,131.813552856445312,0,2576,ZLA2700M1,CRUISE
2869,34.6398887634277344,-118.320053100585938,33000,0,430,131.814437866210938,0,2576,ZLA2700M1,CRUISE
