Aircraft Type,Wingspan (tip to tip in meters),Source,Strike Distance (Gear to End of Fuesalage),Source,Length of Plane (meters),Source,Height from Ground to bottom,Source (EVERY VALUE EXCEPT BOEING OR AIRBUS IS ESTIMATED),Max Thrust (kN),Source,Empty Weight (KG),Source,MTOW (KG),Source,Max Landing Weight (KG),Source,CG (m from nose),Source
C130,40.4,https://www.skybrary.aero/index.php/C130,15.61,https://www.skybrary.aero/index.php/File:C130_3D.jpg (APPROX),29.8,https://www.skybrary.aero/index.php/C130,0.64,https://www.skybrary.aero/index.php/C130,3420 kW,https://en.wikipedia.org/wiki/Lockheed_C-130_Hercules#Specifications_(C-130H),34382,https://en.wikipedia.org/wiki/Lockheed_C-130_Hercules#Specifications_(C-130H),70307,https://en.wikipedia.org/wiki/Lockheed_C-130_Hercules#Specifications_(C-130H),58965,https://www.globalsecurity.org/military/systems/aircraft/c-130j-specs.htm,10.54,https://www.google.com/search?rlz=1C1CHBF_enUS850US850&biw=1745&bih=877&tbm=isch&sa=1&ei=Fu0HXYj7LZfh-gTdpLI4&q=c130&oq=c130&gs_l=img.3..0j0i67j0l2j0i10i67j0i67j0l3j0i10i67.90102.90701..90880...0.0..0.88.313.4......0....1..gws-wiz-img.......35i39.y7NcROo_yB0#imgrc=thtp0nk2lK4zUM:
C160,40,https://www.skybrary.aero/index.php/C160,17.73,https://www.skybrary.aero/index.php/File:C160_3D.jpg (APPROX),32.4,https://www.skybrary.aero/index.php/C160,0.91,https://www.skybrary.aero/index.php/C160,4549 kW,https://en.wikipedia.org/wiki/Transall_C-160#Specifications_(C-160),29000,https://en.wikipedia.org/wiki/Transall_C-160#Specifications_(C-160),51000,https://en.wikipedia.org/wiki/Transall_C-160#Specifications_(C-160),47000,http://all-aero.com/index.php/55-planes-t-u/8098-transall-c-160,11.89,https://www.google.com/search?rlz=1C1CHBF_enUS850US850&biw=1745&bih=877&tbm=isch&sa=1&ei=su0HXfuzO8Kd-gSay5-wCw&q=c160+side&oq=c160+side&gs_l=img.3...12508.13160..13246...0.0..0.74.319.5......0....1..gws-wiz-img.......0j0i5i30j0i8i30j0i5i10i30j0i24.t048V3YVu84#imgrc=pCzRLFinSP5kWM:
C421,12.2,https://www.skybrary.aero/index.php/C421,5.79,https://www.skybrary.aero/index.php/File:C421_3D.jpg (APPROX),10.3,https://www.skybrary.aero/index.php/C421,0.83,https://www.skybrary.aero/index.php/C421,280 kW,https://en.wikipedia.org/wiki/Cessna_421#Specifications_(C_421C),2042,https://en.wikipedia.org/wiki/Cessna_421#Specifications_(C_421C),3379,https://en.wikipedia.org/wiki/Cessna_421#Specifications_(C_421C),3265,https://www.globalair.com/aircraft-for-sale/Specifications?specid=476,4.65,https://www.google.com/search?rlz=1C1CHBF_enUS850US850&biw=1745&bih=877&tbm=isch&sa=1&ei=BCQEXZu-K5PZ-gT5yZ6wBA&q=cessna+421&oq=cessna+421&gs_l=img.3..0l10.277837.279225..279364...0.0..0.75.671.10......0....1..gws-wiz-img.......35i39j0i67.wtsIfjrBI1U#imgrc=GreMblu9_kkyLM:
C510,13.16,https://www.skybrary.aero/index.php/C510,5.33,https://www.skybrary.aero/index.php/File:C510_3D.jpg (APPROX),12.37,https://www.skybrary.aero/index.php/C510,0.56,https://www.skybrary.aero/index.php/File:C510_3D.jpg,6.49,https://en.wikipedia.org/wiki/Cessna_Citation_Mustang,2540,https://en.wikipedia.org/wiki/Cessna_Citation_Mustang,3930,https://en.wikipedia.org/wiki/Cessna_Citation_Mustang,3628,https://www.globalair.com/aircraft-for-sale/Specifications?specid=614,7.06,https://www.google.com/search?rlz=1C1CHBF_enUS850US850&biw=1745&bih=877&tbm=isch&sa=1&ei=HSUEXZnsGcbz-gSl9JPwBA&q=cessna+510&oq=cessna+510&gs_l=img.3..0l4j0i8i30j0i24l5.112079.113186..113329...1.0..0.97.316.4......0....1..gws-wiz-img.......0i30.HYjUTX7w--c#imgrc=pqkRg3uHI8juZM:
C550,15.9,https://www.skybrary.aero/index.php/C550,7.11,https://www.google.com/search?rlz=1C1CHBF_enUS850US850&biw=1920&bih=989&tbm=isch&sa=1&ei=ernlXIrIDumd0gLa9JGIAg&q=c550+aircraft+type&oq=c550+aircraft+type&gs_l=img.3...809360.810088..810596...0.0..0.77.258.4......1....1..gws-wiz-img.......0i7i30j0i8i7i30.S8sP0wO352A#imgrc=whgFjMIjFhoSrM: (APPROX),14.4,https://www.skybrary.aero/index.php/C550,0.37,https://www.skybrary.aero/index.php/File:C550.jpg,11,https://en.wikipedia.org/wiki/Cessna_Citation_II#Specifications_(Cessna_S550_Citation_SII),3656,https://en.wikipedia.org/wiki/Cessna_Citation_II#Specifications_(Cessna_S550_Citation_SII),6849,https://en.wikipedia.org/wiki/Cessna_Citation_II#Specifications_(Cessna_S550_Citation_SII),6123,https://www.globalair.com/aircraft-for-sale/Specifications?specid=185,6.91,https://www.google.com/search?rlz=1C1CHBF_enUS850US850&biw=1745&bih=877&tbm=isch&sa=1&ei=kCUEXbuzAtiv-gSClp7IBg&q=cessna+550&oq=cessna+550&gs_l=img.3..0l7j0i5i30j0i8i30l2.193427.193427..193746...0.0..0.72.72.1......0....1..gws-wiz-img.FHdWBrMAqIU#imgrc=3BdjmVh8T9CpIM:
C560,13.8,https://www.skybrary.aero/index.php/C560,7.18,https://swisslionair.com/fleet (APPROX),16,https://www.skybrary.aero/index.php/C560,0.57,https://www.skybrary.aero/index.php/C560,13.54,https://en.wikipedia.org/wiki/Cessna_Citation_V#Specifications_(Cessna_Citation_Ultra),9395,https://en.wikipedia.org/wiki/Cessna_Citation_V#Specifications_(Cessna_Citation_Ultra),7393,https://www.globalair.com/aircraft-for-sale/Specifications?specid=1132,6894,https://www.globalair.com/aircraft-for-sale/Specifications?specid=189,9.24,https://www.google.com/search?q=cessna+560&rlz=1C1CHBF_enUS850US850&source=lnms&tbm=isch&sa=X&ved=0ahUKEwjI86b5tfHiAhXQ6Z4KHQLYCekQ_AUIECgB&biw=1745&bih=877&dpr=1.1#imgrc=qq-jYAoxWqlYVM:
C56X,17,https://www.skybrary.aero/index.php/C56X,7.31,https://cessna.txtav.com/en/citation/xls (APPROX),15.8,https://www.skybrary.aero/index.php/C56X,0.21,https://www.skybrary.aero/index.php/C56X,18.32,https://en.wikipedia.org/wiki/Cessna_Citation_Excel#Specifications_(Citation_XLS+),5086,https://en.wikipedia.org/wiki/Cessna_Citation_Excel#Specifications_(Citation_XLS+),9163,https://en.wikipedia.org/wiki/Cessna_Citation_Excel#Specifications_(Citation_XLS+),8482,https://cessna.txtav.com/en/citation/xls,7.69,https://www.google.com/search?rlz=1C1CHBF_enUS850US850&biw=1745&bih=877&tbm=isch&sa=1&ei=4gAIXe6AB4zh-gTRw7aQDA&q=cessna+citation+xls&oq=cessna+citation+xls&gs_l=img.3..0l4j0i8i30j0i5i30j0i8i30l3j0i24.1803790.1805082..1805191...0.0..0.87.854.12......0....1..gws-wiz-img.......35i39j0i67j0i8i10i30.6LqOlU1JmAs#imgrc=CtBvJ9qulV0rBM:
C750,19.5,https://www.skybrary.aero/index.php/C750,9.28,https://www.netjets.com/en-us/cessna-citation-x (APPROX),22,https://www.skybrary.aero/index.php/C750,0.68,https://www.skybrary.aero/index.php/C750,31.29,https://en.wikipedia.org/wiki/Cessna_Citation_X#Specifications_(Citation_X+),10038,https://en.wikipedia.org/wiki/Cessna_Citation_X#Specifications_(Citation_X+),16601,https://en.wikipedia.org/wiki/Cessna_Citation_X#Specifications_(Citation_X+),14514,https://www.globalair.com/aircraft-for-sale/Specifications?specid=1440,9.34,https://www.google.com/search?rlz=1C1CHBF_enUS850US850&biw=1745&bih=877&tbm=isch&sa=1&ei=8AcIXb2uNof1-gS2s53QBA&q=cessna+750&oq=cessna+750&gs_l=img.3..0l3j0i8i30j0i24l6.193304.195385..195690...0.0..0.86.1052.15......0....1..gws-wiz-img.......0i67j0i8i10i30j0i5i30j35i39.BX1fC8W9ERM#imgrc=7oruvhKxn1yM2M:
CL60,19.6,https://www.skybrary.aero/index.php/CL60,9.95,https://www.skybrary.aero/index.php/File:CL60_3D.jpg (APPROX),20.85,https://www.skybrary.aero/index.php/CL60,1.05,https://www.skybrary.aero/index.php/CL60,82,https://en.wikipedia.org/wiki/Bombardier_Challenger_600_series#Specifications_(Challenger_650),12315,https://en.wikipedia.org/wiki/Bombardier_Challenger_600_series#Specifications_(Challenger_650),21863,https://en.wikipedia.org/wiki/Bombardier_Challenger_600_series#Specifications_(Challenger_650),17237,https://corporatejetinvestor.com/articles/challenger-605-technical-data/,10.39,https://www.google.com/search?rlz=1C1CHBF_enUS850US850&biw=1745&bih=877&tbm=isch&sa=1&ei=tggIXfYFzO36BKC3ibAI&q=cl60&oq=cl60&gs_l=img.3..0l10.119051.119555..119821...0.0..0.86.299.4......0....1..gws-wiz-img.......35i39j0i67.W27ccEMr7bo#imgrc=eKiPO5T6upnY8M:
CRJ1,21.21,https://www.skybrary.aero/index.php/CRJ1,12.68,https://www.skybrary.aero/index.php/File:CRJ1_3D.jpg (APPROX),26.8,https://www.skybrary.aero/index.php/CRJ1,1.05,https://www.skybrary.aero/index.php/CRJ1,38.84,https://en.wikipedia.org/wiki/Bombardier_CRJ100/200#Specifications,13835,https://en.wikipedia.org/wiki/Bombardier_CRJ100/200#Specifications,24041,https://en.wikipedia.org/wiki/Bombardier_CRJ100/200#Specifications,21319,http://www.flugzeuginfo.net/acdata_php/acdata_crj100_en.php,14.67,https://www.google.com/search?rlz=1C1CHBF_enUS850US850&biw=1745&bih=877&tbm=isch&sa=1&ei=LwkIXZPHAtTH-gTQrpvADQ&q=crj1&oq=crj1&gs_l=img.3..0l10.170780.171346..171500...0.0..0.82.268.4......0....1..gws-wiz-img.......35i39j0i67.o8rcVf1eo-Q#imgrc=mqEPt2byV1mlvM:
CRJ2,21.21,https://www.skybrary.aero/index.php/CRJ2,12.42,https://www.skybrary.aero/index.php/File:CRJ2_3D.jpg (APPROX),26.8,https://www.skybrary.aero/index.php/CRJ2,1.05,https://www.skybrary.aero/index.php/CRJ2,38.84,https://en.wikipedia.org/wiki/Bombardier_CRJ100/200#Specifications,13835,https://en.wikipedia.org/wiki/Bombardier_CRJ100/200#Specifications,24041,https://en.wikipedia.org/wiki/Bombardier_CRJ100/200#Specifications,21319,http://www.flugzeuginfo.net/acdata_php/acdata_crj200_en.php,14.67,https://www.google.com/search?rlz=1C1CHBF_enUS850US850&biw=1745&bih=877&tbm=isch&sa=1&ei=2wkIXY2sK8-c-gT6-bCgAg&q=crj2&oq=crj2&gs_l=img.3..0l2j0i10j0j0i10j0j0i10l3j0.115729.115895..116062...0.0..0.76.144.2......0....1..gws-wiz-img.......35i39j0i67.CuWb-bRhU9U#imgrc=2yQDiBlfgG5AnM:
CRJ9,23.3,https://www.skybrary.aero/index.php/CRJ9,14.59,https://www.skybrary.aero/index.php/File:CRJ9_3D.jpg (APPROX),36.2,https://www.skybrary.aero/index.php/CRJ9,1.21,https://www.skybrary.aero/index.php/CRJ9,59.4,https://en.wikipedia.org/wiki/Bombardier_CRJ700_series#CRJ900,21845,https://en.wikipedia.org/wiki/Bombardier_CRJ700_series#CRJ900,34019,https://en.wikipedia.org/wiki/Bombardier_CRJ700_series#CRJ900,33345,http://www.flugzeuginfo.net/acdata_php/acdata_crj900_en.php,18.68,https://www.google.com/search?rlz=1C1CHBF_enUS850US850&biw=1745&bih=877&tbm=isch&sa=1&ei=UQoIXbihA9bT-wTD75zABQ&q=crj9&oq=crj9&gs_l=img.3..0l3j0i10j0j0i10j0l4.63701.64161..64688...0.0..0.75.148.2......0....1..gws-wiz-img.......35i39.S0C7ElU9xQE#imgrc=Jz9gLB8_ShYTOM:
D228,16.97,https://www.skybrary.aero/index.php/D228,8.88,https://commons.wikimedia.org/wiki/File:Dornier_D228-100_(20184657510).jpg (APPROX),16.56,https://www.skybrary.aero/index.php/D228,0.72,https://www.skybrary.aero/index.php/D228,579 kW,https://en.wikipedia.org/wiki/Dornier_Do_228#Specifications_(Do_228NG),3900,https://en.wikipedia.org/wiki/Dornier_Do_228#Specifications_(Do_228NG),6575,https://en.wikipedia.org/wiki/Dornier_Do_228#Specifications_(Do_228NG),6100,https://www.airlines-inform.com/commercial-aircraft/Dornier-228.html,6.624,https://www.google.com/search?rlz=1C1CHBF_enUS850US850&biw=1745&bih=877&tbm=isch&sa=1&ei=kwoIXcexEIzh-gTRw7aQDA&q=d228&oq=d228&gs_l=img.3..35i39l2j0l2j0i5i30l2j0i24l4.150231.151114..152377...0.0..0.72.275.4......0....1..gws-wiz-img.......0i67.mCd42jVUcfo#imgrc=2SsvKpYNA_9i8M:
D328,20.98,https://www.skybrary.aero/index.php/D328,12.05,https://en.wikipedia.org/wiki/Dornier_328#/media/File:Do_328_sideview_(turboprop_and_jet).svg (APPROX),21.11,https://www.skybrary.aero/index.php/D328,0.69,https://www.skybrary.aero/index.php/D328,1625 kW,https://en.wikipedia.org/wiki/Dornier_328#Specifications_(Dornier_328-110),9100,https://en.wikipedia.org/wiki/Dornier_328#Specifications_(Dornier_328-110),13990,https://en.wikipedia.org/wiki/Dornier_328#Specifications_(Dornier_328-110),13230,https://www.airlines-inform.com/commercial-aircraft/Dornier-328.html,8.91,https://www.google.com/search?rlz=1C1CHBF_enUS850US850&biw=1745&bih=877&tbm=isch&sa=1&ei=LQsIXcGnAozZ-gTx2I-QDg&q=d328&oq=d328&gs_l=img.3..35i39j0l7j0i5i30l2.73470.73610..73824...0.0..0.70.134.2......0....1..gws-wiz-img.n1ZA-6rXiNU#imgrc=k0R0UkhR2F92GM:
DA42,13.42,https://www.skybrary.aero/index.php/DA42,5.35,https://www.skybrary.aero/index.php/File:DA42_3D.jpg (APPROX),8.56,https://www.skybrary.aero/index.php/DA42,0.97,https://www.skybrary.aero/index.php/DA42,125 kW,https://en.wikipedia.org/wiki/Diamond_DA42#Specifications_(DA42_Twin_Star),1251,https://en.wikipedia.org/wiki/Diamond_DA42#Specifications_(DA42_Twin_Star),1785,http://www.flugzeuginfo.net/acdata_php/acdata_da42_en.php,1700,https://www.cockpitseeker.com/wp-content/uploads/goodies/ac/da42/QRH%20DA42.pdf,3.21,https://www.google.com/search?rlz=1C1CHBF_enUS850US850&biw=1745&bih=877&tbm=isch&sa=1&ei=eAsIXaGqAoTV-gSIm67QDw&q=da42&oq=da42&gs_l=img.3..0l10.101305.101702..102635...0.0..0.80.217.3......0....1..gws-wiz-img.......35i39.iYv2-r9rWQs#imgrc=5ndaIyK3VmfJhM:
DC10,50.4,https://www.skybrary.aero/index.php/DC10,23.5,https://www.skybrary.aero/index.php/File:DC10_3D.jpg (APPROX),55,https://www.skybrary.aero/index.php/DC10,2.26,https://www.boeing.com/resources/boeingdotcom/commercial/airports/acaps/dc10.pdf,177.92-235.74,https://en.wikipedia.org/wiki/McDonnell_Douglas_DC-10#Specifications,108940-122567,https://en.wikipedia.org/wiki/McDonnell_Douglas_DC-10#Specifications,195045-251744,https://en.wikipedia.org/wiki/McDonnell_Douglas_DC-10#Specifications,182789,https://www.nata.aero/agso/astgcache/089abbdc-cd68-40df-a980-5fca8c93a248.pdf,30,https://www.google.com/search?rlz=1C1CHBF_enUS850US850&biw=1745&bih=877&tbm=isch&sa=1&ei=3wsIXdSMOpL7-gSlnZ2gAg&q=dc10&oq=dc10&gs_l=img.3..0l10.156570.157126..157422...0.0..0.71.198.3......0....1..gws-wiz-img.JMo5SWMPjJw#imgrc=itv7NlGu4ezArM:
DC87,45.2,https://www.skybrary.aero/index.php/DC87,27.09,https://www.skybrary.aero/index.php/File:DC87_3D.jpg (APPROX),57.1,https://www.skybrary.aero/index.php/DC87,2.08,https://www.boeing.com/resources/boeingdotcom/commercial/airports/acaps/dc8.pdf,75,https://en.wikipedia.org/wiki/Pratt_%26_Whitney_J57#Specifications_(JT3C-7),74253-75387,https://en.wikipedia.org/wiki/Pratt_%26_Whitney_J57#Specifications_(JT3C-7),147417,https://en.wikipedia.org/wiki/Douglas_DC-8#Specifications,108864,https://www.boeing.com/resources/boeingdotcom/commercial/airports/acaps/dc8.pdf,26.4,https://www.google.com/search?rlz=1C1CHBF_enUS850US850&biw=1745&bih=877&tbm=isch&sa=1&ei=fgwIXcavK9Lz-gSG7avACg&q=dc-8-7&oq=dc-8-7&gs_l=img.3..0l5j0i8i30l2j0i24l3.139489.141090..141372...0.0..0.84.450.6......0....1..gws-wiz-img.......0i67j35i39.u3tYN4BNsDw#imgrc=Zgd4Fbv1TyzryM:
DC94,28.47,https://www.skybrary.aero/index.php/DC94,16.36,https://www.skybrary.aero/index.php/File:DC94_3D.jpg (APPROX),38.28,https://www.skybrary.aero/index.php/DC94,1,https://www.boeing.com/resources/boeingdotcom/commercial/airports/acaps/dc9.pdf,54.5-71,https://en.wikipedia.org/wiki/McDonnell_Douglas_DC-9#Specifications,27821,https://en.wikipedia.org/wiki/McDonnell_Douglas_DC-9#Specifications,51710,https://en.wikipedia.org/wiki/McDonnell_Douglas_DC-9#Specifications,46266,https://www.boeing.com/resources/boeingdotcom/commercial/airports/acaps/dc9.pdf,19.31,https://www.google.com/search?rlz=1C1CHBF_enUS850US850&biw=1745&bih=877&tbm=isch&sa=1&ei=DQ0IXezPJYTY-wS5uYSwCA&q=dc-9-4&oq=dc-9-4&gs_l=img.3..0j0i5i30.118209.118830..119207...0.0..0.73.214.3......0....1..gws-wiz-img.......0i67j0i30.-cxKK1G6Az4#imgrc=i9KVqdH3-eM3bM:
DH8A,25.9,https://www.skybrary.aero/index.php/DH8A,12.04,https://www.skybrary.aero/index.php/File:DH8A_3D.jpg (APPROX),22.25,https://www.skybrary.aero/index.php/DH8A,0.64,https://www.skybrary.aero/index.php/File:DH8A_3D.jpg,1600 kW,https://en.wikipedia.org/wiki/De_Havilland_Canada_Dash_8#Specifications,10477,https://en.wikipedia.org/wiki/De_Havilland_Canada_Dash_8#Specifications,16466,https://en.wikipedia.org/wiki/De_Havilland_Canada_Dash_8#Specifications,15380,https://eservices.aero.bombardier.com/wps/wcm/connect/eServices/3ac9f8da-1c6f-4ab8-b586-09e8bc707aaf/D8100-APM.pdf?MOD=AJPERES&CVID=lGQQEUI&CVID=lGQQEUI&CVID=lGQQEUI&CVID=lGQQEUI&CVID=lGQQEUI&CVID=lGQQEUI&CVID=lGQQEUI&CVID=lGQQEUI&CVID=lGQQEUI&CVID=lGQQEUI&CVID=lGQQEUI&CVID=lGQQEUI&CVID=lGQQEUI&CVID=lGQQEUI&CVID=lGQQEUI&CVID=lGQQEUI&CVID=lGQQEUI&CVID=lGQQEUI&CVID=lGQQEUI&CVID=lGQQEUI&CVID=lGQQEUI&CVID=lGQQEUI&CVID=lGQQEUI&CVID=lGQQEUI&CVID=lGQQEUI&CVID=lGQQEUI&CVID=lGQQEUI&CVID=lGQQEUI&CVID=lGQQEUI&CVID=lGQQEUI&CVID=lGQQEUI&CVID=lGQQEUI&CVID=lGQQEUI&CVID=lGQQEUI&CVID=lGQQEUI&CVID=lGQQEUI&CVID=lGQQEUI&CVID=lGQQEUI&CVID=lGQQEUI&CVID=lGQQEUI&CVID=lGQQEUI&CVID=lGQQEUI&CVID=lGQQEUI&CVID=lGQQEUI&CVID=lGQQEUI&CVID=lGQQEUI&CVID=lGQQEUI&CVID=lGQQEUI&CVID=lGQQEUI,9.5,https://www.google.com/search?rlz=1C1CHBF_enUS850US850&biw=1745&bih=877&tbm=isch&sa=1&ei=hg0IXZXsBsnC-gTYtrjACg&q=dash+8+q100&oq=dash+8+q100&gs_l=img.3..0j0i5i30j0i24l4.165882.168217..168439...0.0..0.80.779.11......0....1..gws-wiz-img.......35i39j0i67.ASzxB9591jc#imgrc=4EEEi0U3ahbK6M:
DH8C,27.43,https://www.skybrary.aero/index.php/DH8C,13.89,https://www.skybrary.aero/index.php/File:DH8C_3D.jpg (APPROX),25.68,https://www.skybrary.aero/index.php/DH8C,0.67,https://www.skybrary.aero/index.php/DH8C,1770 kW-1860 kW,https://en.wikipedia.org/wiki/De_Havilland_Canada_Dash_8#Specifications,11793,https://en.wikipedia.org/wiki/De_Havilland_Canada_Dash_8#Specifications,19505,https://en.wikipedia.org/wiki/De_Havilland_Canada_Dash_8#Specifications,18140-19050,https://eservices.aero.bombardier.com/wps/wcm/connect/eServices/c7e8c53b-77f8-41b5-8418-c3334664bb56/D8300-APM.pdf?MOD=AJPERES&CVID=lGQQXVH&CVID=lGQQXVH&CVID=lGQQXVH&CVID=lGQQXVH&CVID=lGQQXVH&CVID=lGQQXVH&CVID=lGQQXVH&CVID=lGQQXVH&CVID=lGQQXVH&CVID=lGQQXVH&CVID=lGQQXVH&CVID=lGQQXVH&CVID=lGQQXVH&CVID=lGQQXVH&CVID=lGQQXVH&CVID=lGQQXVH&CVID=lGQQXVH&CVID=lGQQXVH&CVID=lGQQXVH&CVID=lGQQXVH&CVID=lGQQXVH&CVID=lGQQXVH&CVID=lGQQXVH&CVID=lGQQXVH&CVID=lGQQXVH&CVID=lGQQXVH&CVID=lGQQXVH&CVID=lGQQXVH&CVID=lGQQXVH&CVID=lGQQXVH&CVID=lGQQXVH&CVID=lGQQXVH&CVID=lGQQXVH&CVID=lGQQXVH&CVID=lGQQXVH&CVID=lGQQXVH&CVID=lGQQXVH&CVID=lGQQXVH&CVID=lGQQXVH&CVID=lGQQXVH&CVID=lGQQXVH&CVID=lGQQXVH&CVID=lGQQXVH&CVID=lGQQXVH&CVID=lGQQXVH&CVID=lGQQXVH&CVID=lGQQXVH&CVID=lGQQXVH&CVID=lGQQXVH,12.5,https://www.google.com/search?rlz=1C1CHBF_enUS850US850&biw=1745&bih=877&tbm=isch&sa=1&ei=Lw4IXYKvO5Tb-gTWubPQAQ&q=dash+8+q300&oq=dash+8+q300&gs_l=img.3..0l2j0i5i30l3j0i24l5.83775.84152..84496...0.0..0.71.203.3......0....1..gws-wiz-img.133GA2Scm5c#imgrc=ybZ6rVAeRt2k2M:
DH8D,28.4,https://www.skybrary.aero/index.php/DH8D,16.25,https://www.skybrary.aero/index.php/File:DH8D_3D.jpg (APPROX),32.81,https://www.skybrary.aero/index.php/DH8D,0.67,https://www.skybrary.aero/index.php/DH8D,3781 kW,https://en.wikipedia.org/wiki/De_Havilland_Canada_Dash_8#Specifications,17819,https://en.wikipedia.org/wiki/De_Havilland_Canada_Dash_8#Specifications,30481,https://en.wikipedia.org/wiki/De_Havilland_Canada_Dash_8#Specifications,27442-28009,https://eservices.aero.bombardier.com/wps/wcm/connect/eServices/b87d2033-612e-4007-8611-123d1bcb45ca/D8400-APM.pdf?MOD=AJPERES&CVID=lGQR6nV&CVID=lGQR6nV&CVID=lGQR6nV&CVID=lGQR6nV&CVID=lGQR6nV&CVID=lGQR6nV&CVID=lGQR6nV&CVID=lGQR6nV&CVID=lGQR6nV&CVID=lGQR6nV&CVID=lGQR6nV&CVID=lGQR6nV&CVID=lGQR6nV&CVID=lGQR6nV&CVID=lGQR6nV&CVID=lGQR6nV&CVID=lGQR6nV&CVID=lGQR6nV&CVID=lGQR6nV&CVID=lGQR6nV&CVID=lGQR6nV&CVID=lGQR6nV&CVID=lGQR6nV&CVID=lGQR6nV&CVID=lGQR6nV&CVID=lGQR6nV&CVID=lGQR6nV&CVID=lGQR6nV&CVID=lGQR6nV&CVID=lGQR6nV&CVID=lGQR6nV&CVID=lGQR6nV&CVID=lGQR6nV&CVID=lGQR6nV&CVID=lGQR6nV&CVID=lGQR6nV&CVID=lGQR6nV&CVID=lGQR6nV&CVID=lGQR6nV&CVID=lGQR6nV&CVID=lGQR6nV&CVID=lGQR6nV&CVID=lGQR6nV&CVID=lGQR6nV&CVID=lGQR6nV&CVID=lGQR6nV&CVID=lGQR6nV&CVID=lGQR6nV&CVID=lGQR6nV,15.42,https://www.google.com/search?rlz=1C1CHBF_enUS850US850&biw=1745&bih=877&tbm=isch&sa=1&ei=hQ4IXYTgK8bE-gTIgbeICA&q=dash+8+q400&oq=dash+8+q400&gs_l=img.3..0l10.168892.169059..169179...0.0..0.90.161.2......0....1..gws-wiz-img.Dawt4_S_Ht0#imgrc=XiA_Tzc8VmoBOM:
E120,19.77,https://www.skybrary.aero/index.php/E120,10.65,https://www.flyembraer.com/irj/go/km/docs/download_center/Anonymous/Ergonomia/Home%20Page/Documents/APM_120.pdf,18.73,https://www.skybrary.aero/index.php/E120,1.13,https://www.flyembraer.com/irj/go/km/docs/download_center/Anonymous/Ergonomia/Home%20Page/Documents/APM_120.pdf,1340 kW,https://en.wikipedia.org/wiki/Embraer_EMB_120_Brasilia#Specifications_(EMB_120),7070,https://en.wikipedia.org/wiki/Embraer_EMB_120_Brasilia#Specifications_(EMB_120),11500,https://en.wikipedia.org/wiki/Embraer_EMB_120_Brasilia#Specifications_(EMB_120),11250-11700,https://www.flyembraer.com/irj/go/km/docs/download_center/Anonymous/Ergonomia/Home%20Page/Documents/APM_120.pdf,8.74,https://www.google.com/search?rlz=1C1CHBF_enUS850US850&biw=1745&bih=877&tbm=isch&sa=1&ei=MA8IXYClCM_i-gTs3oPoDg&q=embraer+120&oq=embraer+120&gs_l=img.3..0l7j0i8i30l2j0i30.99680.101043..101228...0.0..0.90.817.11......0....1..gws-wiz-img.......35i39j0i67.Zu8SlcvKuwQ#imgrc=MH_B8oWGorTXvM:
E135,20.04,https://skybrary.aero/index.php/E135,9.76,https://www.flyembraer.com/irj/go/km/docs/download_center/Anonymous/Ergonomia/Home%20Page/Documents/APM_Legacy600.PDF,26.39,https://skybrary.aero/index.php/E135,0.83,https://www.flyembraer.com/irj/go/km/docs/download_center/Anonymous/Ergonomia/Home%20Page/Documents/APM_135.pdf,33.71-39.67,https://en.wikipedia.org/wiki/Embraer_ERJ_family#Specifications,25137-25355,https://en.wikipedia.org/wiki/Embraer_ERJ_family#Specifications,19000-20000,https://en.wikipedia.org/wiki/Embraer_ERJ_family#Specifications,18500,https://www.flyembraer.com/irj/go/km/docs/download_center/Anonymous/Ergonomia/Home%20Page/Documents/APM_135.pdf,14.77,https://www.google.com/search?rlz=1C1CHBF_enUS850US850&biw=1745&bih=877&tbm=isch&sa=1&ei=lg8IXeLcK8_T-wT4yKnAAg&q=embraer+135&oq=embraer+135&gs_l=img.3..0l10.98338.99174..99490...0.0..0.88.298.4......0....1..gws-wiz-img.......35i39j0i8i30j0i67.P7Gm6orbqfg#imgrc=dyBwnTflAf4wpM:
E145,20.04,https://skybrary.aero/index.php/E145,11.29,https://www.flyembraer.com/irj/go/km/docs/download_center/Anonymous/Ergonomia/Home%20Page/Documents/APM_145.pdf,27.93,https://skybrary.aero/index.php/E145,1.35,https://www.embraercommercialaviation.com/wp-content/uploads/2017/02/APM_ERJ145.pdf,33.71-39.67,https://en.wikipedia.org/wiki/Embraer_ERJ_family#Specifications,12114-12591,https://en.wikipedia.org/wiki/Embraer_ERJ_family#Specifications,22000-24100,https://en.wikipedia.org/wiki/Embraer_ERJ_family#Specifications,18700-20000,https://www.flyembraer.com/irj/go/km/docs/download_center/Anonymous/Ergonomia/Home%20Page/Documents/APM_145.pdf,14.32,https://www.google.com/search?rlz=1C1CHBF_enUS850US850&biw=1745&bih=877&tbm=isch&sa=1&ei=-w8IXbTOJMLh-gTG2JqIAQ&q=embraer+145&oq=embraer+145&gs_l=img.3..35i39j0l9.127002.127068..127214...0.0..0.79.157.2......0....1..gws-wiz-img.Re3vwljs5us#imgrc=JBByyISLQFSTBM:
